name,date,date_range,location,image_link,description
Stone tools,3.3 Mya,3.3 Mya,,,– 2.6 Mya: Stone tools - found in modern-day Kenya are older and only found on the archetype road. Ancient stone tools from Ethiopia (Oldowan) were hand-crafted by Australopithecus or related people.[further explanation needed]
control of fire,2.3 Mya,2.3 Mya,,,"Earliest likely control of fire and cooking, by Homo habilis"
Acheulean,1.76 Mya,1.76 Mya,Kenya,,Advanced (Acheulean) stone tools in Kenya by Homo erectus
origin of language,1.75 Mya,1.75 Mya,,,– 150 kya: Varying estimates for the origin of language
Bone tools,1.5 Mya,1.5 Mya,Africa,,Bone tools in Africa by Homo erectus and/or Paranthropus boisei
Boats,900 kya,900 kya,,,– 40 kya: Boats
Hafting,500 kya,500 kya,South Africa,,Hafting in South Africa by Homo heidelbergensis
Woodworking,500 kya,500 kya,Zambia,,"– 450 kya: Woodworking construction in Zambia by Homo heidelbergensis (The oldest known surviving buildings are made from stone and date back no more than 9,500 years.)"
Food storage,420,420,Qesem cave,,"– 200 kya: Food storage in the form of uncracked bones saved for their marrow in Qesem cave, Israel."
Hide and leather,400 kya,400 kya,,,"Hide and leather clothing, footwear and shelter."
Pigments,400 kya,400 kya,Zambia,,Pigments in Zambia by Homo heidelbergensis
Schöningen,337 kya,337 kya,Germany,,– 300 kya: Schöningen Spears in Germany likely by Homo heidelbergensis or early Neandarthals.
trade,320 kya,320 kya,Kenya,,"The trade and long-distance (up to 50 miles) transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya"
Hafting,279 kya,279 kya,Ethiopia,,Hafting and early stone-tipped projectile weapons in Ethiopia
adhesive,200 kya,200 kya,Central Italy,,"Simple glue (adhesive) made of one kind of material, birch tar, in Central Italy by Neanderthals."
Beds,200 kya,200 kya,South Africa,,Beds in South Africa.
Clothing,170 kya,170 kya,Africa,,"– 90 kya: Clothing, among anatomically modern humans in Africa. Genetic evidence from body lice suggests a range of dates centering over 100 thousand years ago. The first bone scrapers appropriate for scraping hides to make supple leather were found in Morocco dating to 90–120,000 years ago."
Beads,135 kya,135 kya,Israel and Algeria,,– 100 kya: Beads in Israel and Algeria — implying string or thread
paints,100 kya,100 kya,South Africa,,Compound paints made in South Africa
burial,100 kya,100 kya,Israel,,Funerals (in the form of burial) in Israel
Harpoons,90 kya,90 kya,,,Harpoons in the Democratic Republic of the Congo.
Sibudu Cave,70 kya,70 kya,Sibudu Cave in South Africa,,– 60 kya in Sibudu Cave in South Africa by Homo sapiens: Compound adhesives Arrows and other evidence of bow-and-arrow technology Sewing needle (implying thread of some kind)
Cave painting,61 kya,61 kya,Spain,,– 62 kya: Cave painting in Spain by Neanderthal
Representational,55,8–51.2 kya,Indonesia,,.8–51.2 kya: Representational and Narrative art in Indonesia by Homo sapiens
